,Name,Location,Single Room,Twin Sharing,Triple Sharing,Four Sharing,Has AC,Nearest Metro,Metro Distance,Type
411,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
412,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
413,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
414,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
415,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
416,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
417,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
418,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
419,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
420,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
421,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
422,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
423,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
424,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
425,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
426,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
427,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
428,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
429,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
430,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
431,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
432,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
433,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
434,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
435,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
436,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
437,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
438,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
439,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
440,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
441,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
442,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
443,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
444,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
445,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
446,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
447,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
448,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
449,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
450,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
451,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
452,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
453,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
454,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
455,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
456,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
457,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
458,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
459,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
460,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
461,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
462,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
463,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
464,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
465,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
466,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
467,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
468,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
469,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
470,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
471,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
472,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
473,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
474,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
475,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
476,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
477,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
478,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
479,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
480,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
481,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
482,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
483,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
484,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
485,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
486,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
487,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
488,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
489,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
490,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
491,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
492,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
493,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
494,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
495,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
496,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
497,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
498,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
499,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
500,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
501,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
502,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
503,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
504,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
505,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
506,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
507,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
508,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
509,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
510,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
511,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
512,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
513,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
514,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
515,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
516,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
517,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
518,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
519,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
520,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
521,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
522,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
523,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
524,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
525,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
526,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
527,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
528,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
529,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
530,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
531,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
532,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
533,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
534,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
535,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
536,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
537,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
538,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
539,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
540,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
541,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
542,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
543,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
544,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
545,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
546,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
547,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
548,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
549,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
550,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
551,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
552,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
553,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
554,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
555,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
556,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
557,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
558,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
559,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
560,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
561,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
562,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
563,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
564,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
565,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
566,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
567,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
568,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
569,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
570,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
571,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
572,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
573,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
574,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
575,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
576,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
577,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
578,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
579,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
580,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
581,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
582,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
583,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
584,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
585,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
586,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
587,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
588,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
589,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
590,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
591,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
592,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
593,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
594,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
595,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
596,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
597,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
598,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
599,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
600,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
601,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
602,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
603,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
604,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
605,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
606,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
607,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
608,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
609,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
610,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
611,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
612,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
613,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
614,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
615,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
616,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
